day_of_week,hour_of_day,traffic_level,total_connectors,available_connectors,queue_length,wait_time_minutes
6,16,2,2,0,2,73.56
2,14,0,4,3,0,0.0
0,7,2,3,0,4,77.53
0,12,0,4,1,0,0.0
3,2,0,3,0,1,14.03
0,22,0,4,1,0,0.0
1,1,0,3,1,0,0.0
6,22,0,3,0,0,9.38
0,8,1,2,1,0,0.0
0,9,2,2,0,1,48.59
1,13,1,4,3,0,0.0
0,3,1,3,0,2,33.0
4,18,2,2,0,3,96.69
3,0,0,4,1,0,0.0
4,13,1,2,2,0,0.0
0,16,1,3,0,4,63.64
6,15,1,2,1,0,0.0
2,8,1,4,0,1,19.96
2,7,2,4,0,5,72.59
5,10,0,2,1,0,0.0
4,10,0,4,3,0,0.0
5,15,0,4,1,0,0.0
0,22,0,3,2,0,0.0
1,1,0,2,1,0,0.0
2,16,2,3,1,0,0.0
2,1,0,4,2,0,0.0
2,1,0,4,2,0,0.0
0,11,0,3,3,0,0.0
3,10,0,2,2,0,0.0
3,11,0,4,0,2,17.32
3,2,1,3,1,0,0.0
4,9,1,3,0,3,55.73
5,9,2,3,1,0,0.0
1,22,0,3,3,0,0.0
0,23,1,3,3,0,0.0
2,20,0,2,2,0,0.0
5,12,1,3,1,0,0.0
0,4,1,4,3,0,0.0
0,4,0,2,2,0,0.0
2,11,1,3,0,2,33.45
1,21,0,3,2,0,0.0
3,2,0,4,4,0,0.0
2,12,1,3,2,0,0.0
1,3,1,2,0,1,30.12
4,12,0,4,2,0,0.0
6,8,2,4,0,5,73.31
2,22,0,3,0,0,6.38
6,2,0,3,3,0,0.0
0,21,1,3,2,0,0.0
5,2,1,4,2,0,0.0
2,5,1,4,1,0,0.0
6,11,0,4,0,0,7.82
6,4,0,2,0,1,27.32
4,18,2,3,0,5,94.36
0,2,0,3,3,0,0.0
4,13,1,3,0,0,12.76
2,20,0,2,1,0,0.0
5,16,1,3,0,2,39.83
3,16,1,2,0,3,79.64
1,5,1,3,1,0,0.0
2,16,1,3,0,2,42.79
5,17,1,3,0,5,77.51
4,2,1,4,1,0,0.0
4,18,1,2,0,5,115.49
0,0,0,2,2,0,0.0
6,18,2,3,0,5,94.22
3,19,1,4,1,0,0.0
5,17,2,3,0,4,78.37
1,21,0,3,3,0,0.0
0,22,0,2,1,0,0.0
3,15,0,3,2,0,0.0
4,4,1,3,2,0,0.0
5,11,0,3,2,0,0.0
4,17,2,2,0,4,119.85
0,8,1,3,0,1,26.68
0,9,2,3,1,0,0.0
1,5,1,3,2,0,0.0
1,5,1,3,3,0,0.0
3,9,1,3,0,4,65.55
4,14,0,2,2,0,0.0
2,1,0,2,1,0,0.0
4,20,0,4,2,0,0.0
4,0,0,2,0,1,26.65
5,11,0,3,0,1,16.69
0,18,1,4,0,5,61.41
2,2,1,3,3,0,0.0
6,17,2,3,0,2,47.47
0,12,0,3,2,0,0.0
6,4,1,2,2,0,0.0
3,16,1,2,0,2,63.94
5,10,1,3,3,0,0.0
1,19,1,4,0,5,59.75
2,5,1,3,2,0,0.0
4,10,1,4,4,0,0.0
3,22,0,4,3,0,0.0
6,0,0,3,0,1,14.95
4,9,2,4,0,5,69.86
3,8,2,4,0,1,24.96
4,15,1,2,2,0,0.0
5,19,1,3,0,1,25.55
4,22,0,2,0,1,26.43
2,13,0,2,2,0,0.0
1,13,1,4,3,0,0.0
6,23,0,4,1,0,0.0
4,6,0,4,3,0,0.0
4,12,0,3,3,0,0.0
4,10,0,4,2,0,0.0
4,15,0,2,1,0,0.0
4,9,2,2,0,2,72.95
5,22,0,3,3,0,0.0
2,17,2,4,0,1,23.85
4,21,0,4,3,0,0.0
6,11,0,2,0,1,23.31
5,2,0,3,2,0,0.0
5,15,0,2,2,0,0.0
2,17,2,4,0,1,20.97
4,23,0,4,1,0,0.0
0,21,0,4,1,0,0.0
0,3,0,3,3,0,0.0
0,21,0,2,2,0,0.0
1,13,0,4,3,0,0.0
5,6,0,3,2,0,0.0
5,1,1,2,2,0,0.0
1,17,2,4,0,2,35.11
3,5,0,2,1,0,0.0
1,23,0,3,0,1,18.38
4,19,2,2,0,4,120.43
5,17,2,4,0,5,69.51
3,8,1,2,0,2,58.85
5,14,0,4,1,0,0.0
0,23,0,3,1,0,0.0
1,19,2,4,1,0,0.0
4,10,0,2,2,0,0.0
0,5,0,2,1,0,0.0
1,0,0,3,1,0,0.0
3,8,2,3,0,3,64.77
5,11,0,4,0,2,16.98
0,14,0,3,3,0,0.0
5,16,2,4,0,3,48.31
2,19,1,2,0,4,97.62
1,14,1,4,2,0,0.0
3,22,0,4,4,0,0.0
6,21,0,2,2,0,0.0
6,19,2,2,1,0,0.0
4,22,0,3,0,0,6.05
6,17,1,4,0,2,29.97
2,16,1,3,0,5,79.12
3,2,0,4,0,1,14.67
1,16,2,3,0,5,98.11
3,21,1,3,0,1,18.91
2,0,0,4,4,0,0.0
0,1,0,3,0,2,23.12
0,2,0,3,2,0,0.0
3,5,1,2,2,0,0.0
5,13,0,3,3,0,0.0
6,12,0,3,1,0,0.0
5,11,0,2,2,0,0.0
3,16,2,2,0,1,49.03
6,0,0,3,3,0,0.0
4,12,0,2,1,0,0.0
2,4,0,3,0,0,9.36
6,21,1,3,0,0,11.86
1,2,1,2,0,1,40.21
4,21,0,4,1,0,0.0
5,1,0,3,1,0,0.0
4,6,0,2,2,0,0.0
2,7,2,4,0,5,73.14
4,21,0,3,2,0,0.0
1,21,0,4,3,0,0.0
2,8,2,2,0,4,122.27
4,15,0,2,2,0,0.0
5,12,0,4,3,0,0.0
3,4,0,3,1,0,0.0
6,17,1,3,0,3,53.91
6,22,0,2,0,2,38.8
3,13,1,4,1,0,0.0
3,7,1,3,0,1,25.37
3,11,1,2,2,0,0.0
6,6,0,2,1,0,0.0
5,19,1,4,0,2,30.77
6,18,2,4,0,4,58.45
1,10,0,3,1,0,0.0
1,23,1,2,1,0,0.0
1,22,1,4,1,0,0.0
3,7,2,4,0,4,59.53
3,17,2,4,0,3,47.03
2,16,2,3,0,4,80.16
6,10,0,2,1,0,0.0
3,1,0,4,1,0,0.0
0,8,2,4,1,0,0.0
2,4,0,2,0,1,29.63
4,7,2,3,0,3,60.27
6,15,1,4,3,0,0.0
3,5,0,4,1,0,0.0
1,23,0,4,1,0,0.0
4,20,1,2,0,0,17.62
6,21,0,2,1,0,0.0
1,20,0,2,2,0,0.0
1,0,1,2,1,0,0.0
2,1,1,4,4,0,0.0
3,21,0,3,0,2,21.77
4,13,0,2,2,0,0.0
5,8,2,4,0,5,71.06
6,22,0,4,1,0,0.0
0,3,0,4,1,0,0.0
1,19,2,4,0,3,50.18
6,12,0,2,1,0,0.0
3,18,2,2,0,3,96.13
5,2,1,4,0,0,5.97
3,12,1,3,3,0,0.0
0,20,1,2,0,0,14.82
3,13,0,4,4,0,0.0
6,3,0,4,1,0,0.0
1,22,0,4,2,0,0.0
0,2,0,4,4,0,0.0
4,21,0,2,1,0,0.0
0,6,0,4,3,0,0.0
0,9,2,2,0,5,145.36
6,12,1,4,2,0,0.0
3,23,1,2,2,0,0.0
0,16,2,4,0,1,22.54
3,7,2,2,1,0,0.0
6,10,1,2,1,0,0.0
6,14,0,3,2,0,0.0
4,12,0,3,3,0,0.0
0,19,1,3,0,1,26.43
2,4,1,3,1,0,0.0
5,12,0,3,0,0,8.42
0,9,2,3,0,1,30.7
1,2,0,2,1,0,0.0
4,17,2,4,0,1,28.29
0,11,0,4,4,0,0.0
4,10,0,3,2,0,0.0
3,12,1,2,2,0,0.0
1,18,1,4,1,0,0.0
1,4,0,3,2,0,0.0
3,4,0,2,1,0,0.0
2,13,0,3,0,1,17.93
2,7,2,4,1,0,0.0
4,19,2,2,0,2,67.95
2,0,0,3,3,0,0.0
6,10,0,3,3,0,0.0
6,20,0,4,2,0,0.0
2,19,1,4,1,0,0.0
2,5,0,3,2,0,0.0
5,22,0,4,4,0,0.0
6,7,2,3,0,4,80.37
2,3,0,4,4,0,0.0
4,5,1,4,0,2,23.05
3,22,0,2,1,0,0.0
6,22,0,2,2,0,0.0
3,4,0,4,1,0,0.0
2,21,1,2,1,0,0.0
6,12,0,2,2,0,0.0
3,18,2,3,1,0,0.0
4,1,1,3,0,0,12.54
6,7,2,4,0,2,34.41
5,19,2,2,1,0,0.0
6,10,0,3,0,0,8.1
2,7,2,4,0,4,61.01
2,12,1,3,1,0,0.0
2,0,0,3,2,0,0.0
3,2,1,2,0,1,34.23
2,10,0,3,3,0,0.0
2,15,0,2,2,0,0.0
5,14,0,3,2,0,0.0
0,22,0,2,1,0,0.0
5,3,0,4,1,0,0.0
4,5,0,4,2,0,0.0
4,13,0,3,3,0,0.0
5,5,1,2,2,0,0.0
3,12,1,2,2,0,0.0
1,14,0,4,3,0,0.0
0,22,0,2,1,0,0.0
6,22,1,2,0,2,46.35
1,11,0,3,3,0,0.0
0,8,2,4,0,5,71.33
3,19,2,3,0,3,63.05
2,14,0,4,2,0,0.0
4,18,2,2,0,3,94.69
0,7,1,3,0,3,55.53
5,4,0,4,3,0,0.0
4,4,0,4,3,0,0.0
1,15,1,4,1,0,0.0
4,5,0,3,1,0,0.0
1,10,1,3,0,1,22.48
0,15,0,2,1,0,0.0
4,16,2,4,1,0,0.0
5,15,1,3,3,0,0.0
3,5,1,2,0,0,13.73
2,1,0,3,2,0,0.0
1,14,1,4,3,0,0.0
4,16,2,2,0,3,97.84
6,17,2,3,0,4,84.24
4,6,0,3,1,0,0.0
2,1,0,3,2,0,0.0
6,2,0,3,1,0,0.0
1,23,1,4,2,0,0.0
6,22,1,4,3,0,0.0
1,19,1,2,0,1,41.06
4,11,0,4,4,0,0.0
4,5,1,3,2,0,0.0
2,18,2,3,0,2,44.96
6,13,0,2,2,0,0.0
1,22,0,2,0,2,36.53
2,7,2,4,1,0,0.0
1,18,2,4,1,0,0.0
3,14,1,2,0,1,35.03
4,23,1,3,2,0,0.0
3,15,1,3,0,2,31.08
0,23,1,3,2,0,0.0
6,2,0,4,1,0,0.0
3,6,0,3,2,0,0.0
6,9,2,3,0,5,96.89
6,15,1,3,0,0,12.38
0,20,0,3,0,0,6.48
3,14,0,2,0,2,37.38
1,20,0,3,2,0,0.0
0,20,0,3,0,1,10.18
5,20,0,2,1,0,0.0
5,9,2,4,0,4,57.95
5,2,0,4,0,0,5.74
3,2,1,2,0,2,46.25
5,14,0,2,2,0,0.0
2,3,1,3,1,0,0.0
3,2,0,2,0,2,40.76
6,3,0,2,1,0,0.0
2,4,0,3,1,0,0.0
0,16,1,4,0,4,45.89
2,23,1,2,2,0,0.0
1,13,1,4,3,0,0.0
6,6,0,2,0,0,11.62
4,23,0,3,3,0,0.0
2,4,0,2,2,0,0.0
0,7,2,4,0,1,24.26
6,21,0,3,1,0,0.0
5,12,1,3,0,0,13.72
3,12,0,2,1,0,0.0
5,19,2,2,0,3,93.13
2,4,1,3,3,0,0.0
2,17,1,4,1,0,0.0
6,2,1,2,0,0,18.58
2,6,0,2,1,0,0.0
4,9,2,4,1,0,0.0
3,22,0,3,1,0,0.0
2,2,0,3,1,0,0.0
6,4,0,4,3,0,0.0
4,20,1,4,0,1,16.27
5,13,0,4,0,0,4.29
0,13,0,2,2,0,0.0
4,1,1,3,1,0,0.0
0,0,0,4,0,0,7.17
3,11,1,4,2,0,0.0
1,11,1,2,1,0,0.0
5,3,0,2,1,0,0.0
2,16,2,2,0,4,120.4
3,16,1,3,1,0,0.0
6,18,2,2,0,3,94.8
6,3,1,4,0,0,8.26
5,16,1,2,0,2,57.73
0,15,0,3,1,0,0.0
1,1,1,4,3,0,0.0
1,10,0,2,2,0,0.0
2,8,2,2,0,1,48.23
4,21,0,2,0,2,38.82
0,12,0,2,1,0,0.0
6,9,1,3,1,0,0.0
0,11,0,2,2,0,0.0
6,9,2,4,0,4,63.17
2,18,1,3,0,2,36.52
0,13,0,2,2,0,0.0
2,20,0,4,2,0,0.0
0,21,1,3,2,0,0.0
0,6,0,4,3,0,0.0
3,1,1,2,1,0,0.0
0,1,1,2,1,0,0.0
5,11,1,3,0,2,36.77
0,16,2,2,1,0,0.0
0,18,1,4,1,0,0.0
5,4,0,2,1,0,0.0
6,10,1,3,2,0,0.0
2,14,0,3,0,0,4.43
1,18,1,2,0,2,58.2
3,14,0,3,0,2,26.18
2,6,0,3,3,0,0.0
2,3,0,2,2,0,0.0
2,22,1,4,0,0,8.69
6,10,0,2,2,0,0.0
1,11,1,3,0,2,31.25
2,8,1,2,1,0,0.0
6,14,1,4,4,0,0.0
1,3,0,3,1,0,0.0
0,0,0,2,0,0,12.08
6,12,1,3,0,2,31.51
4,8,1,2,0,2,57.32
5,14,0,2,1,0,0.0
0,1,0,3,1,0,0.0
4,13,0,4,3,0,0.0
0,12,0,4,1,0,0.0
2,6,0,2,1,0,0.0
3,4,1,2,2,0,0.0
4,7,2,4,1,0,0.0
3,17,1,3,0,3,53.7
3,4,0,3,1,0,0.0
5,17,2,2,0,4,120.71
4,15,1,3,2,0,0.0
3,8,1,2,0,5,115.61
1,0,0,3,3,0,0.0
4,11,0,4,1,0,0.0
0,7,1,4,0,5,60.3
6,23,0,2,2,0,0.0
6,12,0,3,1,0,0.0
1,18,2,3,0,5,96.61
0,22,0,4,4,0,0.0
4,4,0,4,3,0,0.0
4,9,2,2,0,1,49.63
0,7,1,4,0,5,59.76
3,0,1,3,1,0,0.0
6,4,1,3,1,0,0.0
6,10,0,2,0,2,35.84
5,4,1,2,1,0,0.0
0,11,1,4,3,0,0.0
4,3,0,3,2,0,0.0
1,5,0,4,3,0,0.0
5,10,1,2,2,0,0.0
5,19,1,3,0,4,63.88
2,23,0,4,1,0,0.0
1,23,1,2,2,0,0.0
3,18,1,2,0,5,118.49
1,20,0,4,3,0,0.0
1,10,0,4,1,0,0.0
2,10,1,2,0,2,49.97
5,20,0,4,3,0,0.0
0,8,1,2,0,3,77.96
2,3,0,4,0,1,12.73
3,23,0,3,3,0,0.0
3,12,1,3,3,0,0.0
0,15,1,4,1,0,0.0
1,14,0,2,1,0,0.0
0,10,0,3,0,1,19.22
1,12,1,2,0,2,47.57
0,10,1,4,3,0,0.0
5,0,1,3,1,0,0.0
4,13,0,2,0,1,26.09
1,6,1,3,2,0,0.0
5,9,1,3,0,1,25.6
3,18,2,4,0,1,23.56
2,0,0,3,2,0,0.0
6,21,1,4,3,0,0.0
1,3,0,2,0,2,39.7
2,2,0,3,2,0,0.0
6,12,0,3,2,0,0.0
0,20,0,4,1,0,0.0
2,12,0,3,3,0,0.0
0,8,2,3,0,2,49.65
6,8,1,4,0,1,21.13
0,21,1,3,3,0,0.0
6,18,2,2,0,4,122.61
6,16,2,3,1,0,0.0
4,7,2,3,0,4,80.04
6,22,1,2,2,0,0.0
4,18,2,4,0,1,25.36
6,14,0,2,0,0,11.88
1,1,0,3,3,0,0.0
1,20,1,2,1,0,0.0
2,23,0,2,1,0,0.0
4,12,0,4,2,0,0.0
4,14,1,2,2,0,0.0
4,16,1,3,1,0,0.0
1,4,1,4,4,0,0.0
6,3,1,2,0,1,33.15
6,17,2,3,0,4,79.74
5,15,1,4,3,0,0.0
0,5,0,3,1,0,0.0
4,19,2,4,1,0,0.0
0,12,1,3,1,0,0.0
0,23,0,3,2,0,0.0
0,10,0,3,2,0,0.0
6,15,1,4,0,0,8.32
1,9,2,4,0,3,49.19
5,13,1,4,0,0,6.49
3,6,1,3,3,0,0.0
6,16,1,3,0,1,30.18
2,22,0,4,1,0,0.0
6,16,1,4,0,2,27.24
6,6,0,2,0,1,22.57
0,11,0,4,2,0,0.0
2,14,0,4,0,2,21.07
0,7,2,3,1,0,0.0
1,15,1,4,2,0,0.0
2,5,1,3,0,1,23.25
0,12,0,2,2,0,0.0
6,6,1,2,0,2,50.0
1,8,2,4,0,1,25.26
3,4,0,4,4,0,0.0
6,0,0,2,2,0,0.0
6,9,2,4,0,4,59.98
3,11,0,3,1,0,0.0
3,9,2,4,1,0,0.0
4,3,1,2,2,0,0.0
6,11,1,4,4,0,0.0
4,9,2,3,0,4,78.21
0,10,1,3,2,0,0.0
6,8,2,3,0,2,48.15
